7.3181e+05,2.5047,0.69,3.0095,1.21,3.4471,1.5837,3.8297,1.8589,4.1647,2.064,4.4577,2.2196,4.7133,2.34,4.9353,2.4348
7.3182e+05,2.5723,0.62,3.0622,1.12,3.4765,1.4852,3.8328,1.753,4.1416,1.9539,4.41,2.1074,4.6432,2.2271,4.8454,2.3222
7.3182e+05,2.5518,0.65,3.0585,1.17,3.479,1.5337,3.8329,1.7931,4.1345,1.9852,4.3937,2.1317,4.6171,2.2464,4.8099,2.3383
7.3183e+05,2.3143,0.55,2.8413,1.04,3.2861,1.3977,3.6633,1.6641,3.9861,1.868,4.2646,2.0273,4.5056,2.1543,4.7145,2.2575
7.3184e+05,2.2221,0.44,2.7303,0.96,3.1693,1.342,3.5478,1.6262,3.8755,1.8418,4.1604,2.0087,4.4084,2.1404,4.6244,2.2462
7.3184e+05,2.2277,0.49,2.7036,1.01,3.1166,1.3811,3.4754,1.652,3.7886,1.8547,4.0628,2.0095,4.3031,2.1304,4.5135,2.2268
7.3185e+05,2.085,0.23,2.5502,0.75,2.9589,1.1298,3.3164,1.4209,3.6299,1.644,3.9053,1.8169,4.1473,1.9526,4.3598,2.0604
7.3186e+05,2.216,0.4,2.7081,0.93,3.1327,1.3086,3.4997,1.5897,3.8187,1.8023,4.097,1.9666,4.3401,2.0962,4.5525,2.2005
7.3186e+05,2.2288,0.33,2.7296,0.87,3.1628,1.2543,3.5377,1.5404,3.8637,1.757,4.1484,1.925,4.3973,2.0581,4.6147,2.1656
7.3187e+05,2.4627,0.48,2.9452,0.96,3.3571,1.3154,3.7134,1.5895,4.0241,1.8009,4.2959,1.9658,4.5338,2.096,4.7417,2.2
7.3188e+05,2.2881,0.41,2.7565,0.86,3.1628,1.1832,3.517,1.4296,3.8274,1.6194,4.0999,1.7685,4.3391,1.8879,4.5487,1.985
7.3188e+05,2.4032,0.5,2.879,0.92,3.2854,1.237,3.6356,1.4709,3.9397,1.6501,4.205,1.7903,4.4366,1.9022,4.6386,1.9931
7.3189e+05,2.6304,0.7,3.0977,1.15,3.4898,1.4533,3.826,1.6714,4.1176,1.8325,4.3721,1.9554,4.5944,2.0518,4.7885,2.1293
7.319e+05,2.3614,0.5,2.8173,0.9,3.2079,1.2005,3.5468,1.4222,3.843,1.5922,4.1028,1.7252,4.3308,1.8314,4.5305,1.9177
7.3191e+05,2.3483,0.62,2.7843,0.99,3.1597,1.2726,3.4877,1.4881,3.7765,1.6567,4.0315,1.7909,4.2565,1.8993,4.4549,1.9882
7.3191e+05,2.5786,0.71,3.0151,1.12,3.3866,1.4081,3.7084,1.6187,3.9898,1.7763,4.2368,1.8973,4.4538,1.9926,4.6442,2.0692
7.3192e+05,2.4222,0.58,2.8753,0.96,3.2568,1.2447,3.5845,1.4664,3.8696,1.6387,4.1191,1.7736,4.3381,1.8799,4.5301,1.9644
7.3193e+05,2.3948,0.51,2.8563,0.88,3.2467,1.1681,3.5825,1.4052,3.8746,1.597,4.1303,1.7522,4.3546,1.8775,4.5514,1.9787
7.3193e+05,2.3489,0.61,2.7982,0.95,3.1772,1.2287,3.5027,1.455,3.7855,1.6388,4.0329,1.7878,4.2497,1.9082,4.4398,2.0051
7.3194e+05,2.3322,0.59,2.788,0.94,3.1727,1.2188,3.5022,1.4456,3.7878,1.629,4.0369,1.7771,4.2549,1.8963,4.4457,1.9921
7.3195e+05,2.4951,0.6532,2.9681,1.0197,3.3651,1.3159,3.7044,1.555,3.9979,1.7475,4.2535,1.902,4.4765,2.0255,4.6711,2.1237
7.3196e+05,2.1853,0.5245,2.6515,0.8589,3.0515,1.1386,3.3967,1.3718,3.6971,1.5655,3.9599,1.7257,4.1903,1.8574,4.3923,1.9651
7.3196e+05,2.2114,0.4286,2.6557,0.757,3.0355,1.0382,3.3638,1.2775,3.6502,1.48,3.9015,1.6502,4.1225,1.792,4.3169,1.9092
7.3197e+05,2.2368,0.4025,2.6902,0.7428,3.0772,1.0316,3.4104,1.2759,3.7002,1.4817,3.9538,1.6542,4.1762,1.798,4.3714,1.9171
7.3198e+05,2.361,0.4046,2.8078,0.739,3.186,1.0263,3.5109,1.2718,3.7929,1.4805,4.0394,1.6566,4.2553,1.8041,4.4445,1.9266
7.3198e+05,2.3027,0.333,2.7545,0.6689,3.1359,0.958,3.4621,1.2055,3.7443,1.4162,3.9903,1.5946,4.2055,1.7445,4.3938,1.8692
7.3199e+05,2.199,0.1749,2.6438,0.5404,3.0258,0.8535,3.3575,1.1207,3.648,1.3475,3.9034,1.539,4.1284,1.6994,4.3263,1.8328
7.32e+05,2.2689,0.1606,2.715,0.5397,3.0964,0.8645,3.4263,1.1414,3.7144,1.3764,3.9672,1.5744,4.1893,1.7402,4.3845,1.8777
7.32e+05,2.1693,-0.0293,2.6262,0.3395,3.0125,0.6585,3.3413,0.9332,3.6245,1.1685,3.8707,1.369,4.0859,1.5386,4.2745,1.6809
7.3201e+05,2.0379,-0.153,2.4616,0.2231,2.8322,0.5434,3.1578,0.8155,3.445,1.0458,3.699,1.24,3.9237,1.4029,4.1222,1.5389
7.3202e+05,1.9774,-0.0878,2.3848,0.2875,2.7489,0.6062,3.073,0.8761,3.3617,1.1039,3.6186,1.2954,3.847,1.4556,4.0494,1.5888
7.3202e+05,2.0132,-0.2412,2.4228,0.1658,2.7846,0.5048,3.1046,0.7875,3.3885,1.0235,3.6407,1.2205,3.8646,1.3848,4.063,1.5216
7.3203e+05,2.0455,-0.1719,2.4621,0.2342,2.83,0.5667,3.1554,0.8407,3.4438,1.0675,3.6998,1.2558,3.9267,1.4124,4.1276,1.5426
7.3204e+05,2.3744,0.087,2.7958,0.4944,3.1619,0.8181,3.4833,1.0805,3.7669,1.2959,4.0172,1.4744,4.2379,1.6226,4.4321,1.7457
7.3204e+05,2.422,0.2205,2.8559,0.6305,3.2282,0.9546,3.5527,1.2156,3.8376,1.4289,4.0884,1.6046,4.3089,1.7501,4.5026,1.8707
7.3205e+05,2.5878,0.2301,3.0321,0.6711,3.4083,1.0079,3.7333,1.2738,4.0171,1.4886,4.2659,1.665,4.4841,1.811,4.6753,1.9322
7.3206e+05,2.8363,0.5813,3.2564,1.0185,3.6067,1.3409,3.9074,1.5877,4.169,1.7826,4.3981,1.9401,4.5991,2.0693,4.7752,2.1762
7.3207e+05,2.8898,0.6237,3.315,1.0367,3.6658,1.3514,3.9649,1.5984,4.2239,1.7969,4.4499,1.9593,4.6477,2.0939,4.8209,2.206
7.3207e+05,3.2258,0.792,3.6502,1.2327,3.9937,1.5506,4.2826,1.7883,4.5302,1.9718,4.7445,2.1175,4.9305,2.2354,5.092,2.3322
7.3208e+05,3.169,0.7211,3.6038,1.1555,3.958,1.4686,4.2565,1.7029,4.5126,1.8843,4.7342,2.0286,4.9269,2.1459,5.0943,2.2423
7.3209e+05,3.1787,0.6629,3.6032,1.0917,3.9485,1.3968,4.2398,1.623,4.4901,1.7971,4.7068,1.9353,4.8953,2.0474,5.0591,2.1398
